no,id,item,generator,condition,assertion,file,line_start,line_end,commit,quote,why,auditor_verdict,auditor_note
P2-090,PR_terra_terse_H02_s1#6,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete comment/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規範文章頁上的刪除留言按鈕僅對留言作者顯示，因此訪客或非作者看不到刪除按鈕。,,
P2-091,PR_terra_terse_H02_s1#7,H02,gpt-5.6-terra,concise,"await expect( page.getByPlaceholder(/write a comment/i), ).toHaveCount(0)",specs/e2e/comments.spec.ts,102,113,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });
    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();
    await context2.close();","E2E 測試明確驗證未登入訪客造訪文章頁時不應看見留言輸入框 textarea[placeholder=""Write a comment...""]。",,
P2-092,PR_terra_terse_H02_s1#9,H02,gpt-5.6-terra,concise,"await expect(page.getByText(authorComment, { exact: true })).toBeVisible()",specs/e2e/comments.spec.ts,133,138,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Now add our own comment
    const commentText = `Comment by logged in user ${Date.now()}`;
    await addComment(page, commentText);
    // Verify the delete button IS visible for OUR comment
    const ownComment = page.locator('.card', { has: page.locator(`text=""${commentText}""`) });
    await expect(ownComment.locator('span.mod-options i.ion-trash-a')).toBeVisible();",公開測試在驗證非自己留言不可刪除時，明確測了登入使用者在文章頁上能看見其他作者既有的留言（及自己後續加入的留言）。,,
P2-093,PR_terra_terse_H02_s1#10,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,300,303,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確斷言非作者使用者造訪文章頁時，不可看見 Delete Article 按鈕。,,
P2-094,PR_terra_terse_H02_s1#11,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('link', { name: /edit article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,300,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確驗證非作者使用者訪問文章頁時不應看到 Edit Article 連結。,,
P2-095,PR_terra_terse_H02_s1#12,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete comment/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,17,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"   - Comments section at bottom of page
   - Delete comment button (only shown to comment's author)",規格明確規定文章頁上的刪除留言按鈕只顯示給留言作者，非作者看見該按鈕數量應為 0。,,
P2-096,PR_terra_terse_H02_s1#14,H02,gpt-5.6-terra,concise,await expect(visitorCommentCard).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",E2E 測試明確測試了使用者在文章頁送出留言後，該留言卡片內容必須在畫面上可見（toBeVisible）。,,
P2-097,PR_terra_terse_H02_s1#17,H02,gpt-5.6-terra,concise,await expect(authorCommentCard).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",公開的 E2E 測試明確測試並斷言文章下的留言卡片（.card 內容）必須對使用者可見。,,
P2-098,PR_terra_terse_H02_s1#18,H02,gpt-5.6-terra,concise,"await expect( authorCommentCard.getByRole('button', { name: /delete comment/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規定文章頁上的刪除留言按鈕只會顯示給該留言的作者，因此非作者的使用者看到該留言時不應有刪除按鈕。,,
P2-099,PR_terra_terse_H02_s2#3,H02,gpt-5.6-terra,concise,await expect(page.getByText(authorComment)).toBeVisible(),specs/e2e/comments.spec.ts,102,107,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should require login to post comment', async ({ page, browser }) => {
    // Create a new context without authentication (not sharing cookies with page)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    // Visit the article and wait for navigation
    await page2.goto(page.url(), { waitUntil: 'load' });",E2E 測試驗證未登入訪客（全新無憑證 context）開啟既有文章頁面，且前置條件與規格說明文章下的留言列表與內容對未登入訪客可見。,,
P2-100,PR_terra_terse_H02_s2#5,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /edit article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,282,303,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確測試並規範了非作者訪問文章頁面時，不應看到 Edit Article 按鈕/連結。,,
P2-101,PR_terra_terse_H02_s2#6,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete article/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",前端路由規範明確規定文章頁上的「Delete article button」僅顯示給文章作者，未登入訪客不能看到該按鈕。,,
P2-102,PR_terra_terse_H02_s2#7,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete comment/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規範文章頁的刪除留言按鈕僅對該留言作者顯示，訪客或非留言作者不應看到該刪除按鈕。,,
P2-103,PR_terra_terse_H02_s2#9,H02,gpt-5.6-terra,concise,await expect(page.getByText(authorComment)).toBeVisible(),specs/e2e/comments.spec.ts,126,131,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Check if there are any existing comments (from other users like johndoe)
    const existingCommentsCount = await page.locator('.card:not(.comment-form)').count();
    // If there are existing comments, they should NOT have delete buttons (not our comments)
    if (existingCommentsCount > 0) {
      const firstExistingComment = page.locator('.card:not(.comment-form)').first();
      await expect(firstExistingComment.locator('span.mod-options i.ion-trash-a')).not.toBeVisible();",測試明確驗證登入使用者在文章頁上可以看到其他使用者（非作者自身）既有的留言內容。,,
P2-104,PR_terra_terse_H02_s2#10,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /edit article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,297,303,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確驗證了非作者使用者造訪文章頁面時，不應看到編輯文章按鈕（Edit Article）。,,
P2-105,PR_terra_terse_H02_s2#11,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete article/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",前端路由規範明確定義文章頁的刪除文章按鈕僅對文章作者顯示，非作者或未登入者皆不應看見。,,
P2-106,PR_terra_terse_H02_s2#12,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete comment/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,- Delete comment button (only shown to comment's author),前端路由規格明確要求文章頁的刪除留言按鈕僅對該留言作者顯示，非作者不可見。,,
P2-107,PR_terra_terse_H02_s2#13,H02,gpt-5.6-terra,concise,"await expect( page.getByPlaceholder(/write a comment/i), ).toBeVisible()",specs/e2e/comments.spec.ts,108,112,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();",測試明確斷言未登入使用者在文章頁看不到 placeholder 為 'Write a comment...' 的留言輸入框，相反地已登入使用者應可見此輸入框。,,
P2-108,PR_terra_terse_H02_s2#14,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /post comment/i }), ).toBeVisible()",specs/e2e/SELECTORS.md,113,115,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"| Text                      | Element  | Context                  |
| ------------------------- | -------- | ------------------------ |
| `Post Comment`            | `button` | Article detail           |",SELECTORS.md 明確規定在文章詳情頁（Article detail）存在按鈕文字為「Post Comment」的 button 元素。,,
P2-109,PR_terra_terse_H02_s2#15,H02,gpt-5.6-terra,concise,await expect(otherCommentCard).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",官方 E2E 測試明確驗證了在文章頁發表留言後，該留言卡片內容必須在畫面上可見。,,
P2-110,PR_terra_terse_H02_s2#18,H02,gpt-5.6-terra,concise,"await expect( authorCommentCard.getByRole('button', { name: /delete comment/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規範明確說明文章頁上的刪除留言按鈕只會顯示給該留言的作者，非作者看該則留言時不應有刪除按鈕。,,
P2-111,PR_terra_terse_H02_s2#19,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /edit article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,282,305,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();

    await context2.close();
  });",E2E 測試明確驗證非作者使用者造訪文章頁面時，不應看到編輯文章（Edit Article）與刪除文章（Delete Article）的操作按鈕。,,
P2-112,PR_terra_terse_H02_s2#20,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete article/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",規格明確規範文章頁的刪除文章按鈕僅在使用者為文章作者時顯示，因此非作者或未登入者開啟時不應看見刪除文章按鈕。,,
P2-113,PR_terra_terse_H02_s3#1,H02,gpt-5.6-terra,concise,"await expect(page.getByRole('heading', { name: article.title })).toBeVisible()",specs/e2e/articles.spec.ts,38,41,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should be on article page
    await expect(page).toHaveURL(/\/article\/.+/);

    // Should show article content
    await expect(page.locator('h1')).toHaveText(article.title);",E2E 測試明確驗證進入文章頁面後，文章標題（h1 heading）必須顯示且可見。,,
P2-114,PR_terra_terse_H02_s3#3,H02,gpt-5.6-terra,concise,"await expect( page.getByText('Comment written by the article author.'), ).toBeVisible()",specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",公開 E2E 測試驗證了在文章頁上發表的留言內容必須在畫面上可見。,,
P2-115,PR_terra_terse_H02_s3#5,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /edit article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,282,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should only allow author to edit/delete article', async ({ page, browser }) => {
    const article = generateUniqueArticle();

    // Create article as first user
    await createArticle(page, article);

    // Get article URL
    const articleUrl = page.url();

    // Create a second user in new context (not sharing cookies with first user)
    const context2 = await browser.newContext();
    const page2 = await context2.newPage();
    const user2 = generateUniqueUser();
    await register(page2, user2.username, user2.email, user2.password);

    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();",規格測試明確要求非作者在查看文章頁時，不可看見 Edit Article 按鈕/連結。,,
P2-116,PR_terra_terse_H02_s3#6,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete article/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,15,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)",規格明確陳述文章頁上的 Delete article 按鈕僅顯示給文章作者，因此未登入訪客看到該按鈕的數量應為 0。,,
P2-117,PR_terra_terse_H02_s3#7,H02,gpt-5.6-terra,concise,"await expect(page.getByRole('button', { name: /delete/i })).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,14,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
   - Delete article button (only shown to article's author)
   - Render markdown from server client side
   - Comments section at bottom of page
   - Delete comment button (only shown to comment's author)",規格明確規範文章頁上的刪除文章按鈕僅作者可見，且刪除留言按鈕僅留言作者可見，因此未登入訪客畫面上不應出現任何 delete 按鈕。,,
P2-118,PR_terra_terse_H02_s3#8,H02,gpt-5.6-terra,concise,"await expect(page.getByRole('heading', { name: article.title })).toBeVisible()",specs/e2e/articles.spec.ts,38,41,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should be on article page
    await expect(page).toHaveURL(/\/article\/.+/);

    // Should show article content
    await expect(page.locator('h1')).toHaveText(article.title);",E2E 測試明確要求進入文章頁面後，標題 heading（h1）必須顯示該文章的 title。,,
P2-119,PR_terra_terse_H02_s3#10,H02,gpt-5.6-terra,concise,"await expect( page.getByPlaceholder(/write a comment/i), ).toBeVisible()",specs/e2e/comments.spec.ts,108,112,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Wait for Angular to complete auth check - either comment form OR sign in link appears
    await page2.waitForSelector('textarea[placeholder=""Write a comment...""], a[href=""/login""]', { timeout: 10000 });
    // Should see sign in/sign up links instead of comment form
    await expect(page2.locator('a[href=""/login""]')).toBeVisible();
    await expect(page2.locator('textarea[placeholder=""Write a comment...""]')).not.toBeVisible();","契約在此測試了未登入時看不到留言輸入框（textarea[placeholder=""Write a comment...""]），反之說明登入狀態下該留言輸入框可見且作為登入檢查依據，同時 SELECTORS.md 亦定義了該 placeholder。",,
P2-120,PR_terra_terse_H02_s3#12,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /edit article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,297,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確驗證非作者使用者瀏覽文章頁面時，不應看到編輯文章（Edit Article）的按鈕或連結。,,
P2-121,PR_terra_terse_H02_s3#13,H02,gpt-5.6-terra,concise,"await expect( page.getByRole('button', { name: /delete article/i }), ).toHaveCount(0)",specs/e2e/articles.spec.ts,297,302,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Visit the article as second user
    await page2.goto(articleUrl);

    // Should not see Edit/Delete buttons
    await expect(page2.locator('a:has-text(""Edit Article"")')).not.toBeVisible();
    await expect(page2.locator('button:has-text(""Delete Article"")')).not.toBeVisible();",E2E 測試明確斷言非作者的使用者造訪文章頁面時，不應看見 Delete Article 按鈕。,,
P2-122,PR_terra_terse_H02_s3#14,H02,gpt-5.6-terra,concise,await expect(page.getByText(commentBody)).toBeVisible(),specs/e2e/comments.spec.ts,31,36,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should add a comment to an article', async ({ page }) => {
    const commentText = 'This is a test comment from Playwright!';
    await addComment(page, commentText);
    // Comment should be visible
    await expect(page.locator(`.card:not(.comment-form) .card-block:has-text(""${commentText}"")`)).toBeVisible();
  });",E2E 測試明確驗證了在文章頁發表留言後，該留言內容在頁面上呈現可見。,,
P2-123,PR_terra_terse_H02_s3#15,H02,gpt-5.6-terra,concise,"await expect(ownComment.getByRole('button', { name: /delete/i })).toBeVisible()",docs/src/content/docs/specifications/frontend/routing.md,14,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"- Article page (URL: `/article/article-slug-here` )
  - Delete article button (only shown to article's author)
  - Render markdown from server client side
  - Comments section at bottom of page
  - Delete comment button (only shown to comment's author)",契約明確規定在文章頁面中，留言刪除按鈕僅會顯示給該留言的作者（Delete comment button (only shown to comment's author)）。,,
P2-124,PR_terra_terse_H02_s3#16,H02,gpt-5.6-terra,concise,"await expect( authorCommentCard.getByRole('button', { name: /delete/i }), ).toHaveCount(0)",docs/src/content/docs/specifications/frontend/routing.md,18,18,ebbcdeb8d55b42a3a613c787560498b8ef10003f,   - Delete comment button (only shown to comment's author),規格明確規範文章頁上的刪除留言按鈕僅對該則留言的作者顯示，因此非留言作者的使用者看不到該按鈕。,,
P2-125,PR_terra_terse_H03_s1#2,H03,gpt-5.6-terra,concise,await expect(articlePreviews).toHaveCount(10),specs/e2e/url-navigation.spec.ts,252,254,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // First page should show 10 articles
    const articlesOnPage1 = await page.locator('.article-preview').count();
    expect(articlesOnPage1).toBe(10);",E2E 測試明確測試了在 15 篇標籤篩選文章下，第一頁的 .article-preview 數量為 10 篇。,,
P2-126,PR_terra_terse_H03_s1#6,H03,gpt-5.6-terra,concise,await expect(articlePreviews).toHaveCount(5),specs/e2e/url-navigation.spec.ts,266,268,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Second page should have 5 articles (15 - 10 = 5)
    const articlesOnPage2 = await page.locator('.article-preview').count();
    expect(articlesOnPage2).toBe(5);",E2E 測試明確驗證了在 15 篇文章的標籤分頁下，切換至第 2 頁時文章預覽數量為 5 篇。,,
P2-127,PR_terra_terse_H03_s2#8,H03,gpt-5.6-terra,concise,"await expect(page).toHaveURL(new RegExp(`${UI.replace(/[.*+?^${}()|[\]\\]/g, '\\$&')}/#/?$`))",specs/e2e/url-navigation.spec.ts,227,229,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Click Global Feed and wait for URL to change to root path
    await page.click('.nav-link:has-text(""Global Feed"")');
    await expect(page).toHaveURL('/');",契約中的測試明確驗證了在標籤分頁（page 2）點擊 Global Feed 切回全部文章列表時，URL 會變更回根路徑 '/'。,,
P2-128,PR_terra_terse_H04_s3#3,H04,gpt-5.6-terra,concise,"await expect(page.getByRole('link', { name: 'Your Feed' })).toHaveClass( /active/, )",specs/e2e/url-navigation.spec.ts,71,75,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Click Your Feed
    await page.click('.nav-link:has-text(""Your Feed"")');
    // Should navigate to /?feed=following
    await expect(page).toHaveURL('/?feed=following');
    await expect(page.locator('.nav-link:has-text(""Your Feed"")')).toHaveClass(/active/);",公開的 E2E 測試明確斷言點擊「Your Feed」後該連結必須具有 active class。,,
P2-129,PR_terra_terse_H04_s3#7,H04,gpt-5.6-terra,concise,"await expect(page.getByRole('link', { name: 'Your Feed' })).toHaveClass( /active/, )",specs/e2e/url-navigation.spec.ts,71,75,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Click Your Feed
    await page.click('.nav-link:has-text(""Your Feed"")');
    // Should navigate to /?feed=following
    await expect(page).toHaveURL('/?feed=following');
    await expect(page.locator('.nav-link:has-text(""Your Feed"")')).toHaveClass(/active/);",契約規格中明確測試了在點擊「Your Feed」分頁連結後，該分頁連結應具有 active class。,,
P2-130,PR_terra_terse_S02_s1#3,S02,gpt-5.6-terra,concise,expect(duplicateRegistration.status).toBeGreaterThanOrEqual(400),specs/api/hurl/errors_auth.hurl,66,77,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"# Register duplicate email
POST {{host}}/api/users
{
  ""user"": {
    ""username"": ""ea_dup2_{{uid}}"",
    ""email"": ""ea_dup_{{uid}}@test.com"",
    ""password"": ""password123""
  }
}
HTTP 409
[Asserts]
jsonpath ""$.errors.email[0]"" == ""has already been taken""",規格測試明確要求使用已註冊的 duplicate email 再次註冊時，API 必須回應 409 錯誤狀態碼。,,
P2-131,PR_terra_terse_S02_s1#4,S02,gpt-5.6-terra,concise,expect(duplicateRegistration.json).toHaveProperty('errors'),specs/api/hurl/errors_auth.hurl,66,77,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"# Register duplicate email
POST {{host}}/api/users
{
  ""user"": {
    ""username"": ""ea_dup2_{{uid}}"",
    ""email"": ""ea_dup_{{uid}}@test.com"",
    ""password"": ""password123""
  }
}
HTTP 409
[Asserts]
jsonpath ""$.errors.email[0]"" == ""has already been taken""",官方測試明確測驗了重複 email 註冊 API 應回傳 HTTP 409 且包含 errors 欄位。,,
P2-132,PR_terra_terse_S02_s1#5,S02,gpt-5.6-terra,concise,await expect(page).toHaveURL(/#\/register/),specs/e2e/error-handling.spec.ts,60,65,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');",測試明確驗證當註冊遇到驗證錯誤（包含 email 被佔用）時，頁面停留在註冊頁 URL（/register）而不會成功跳轉。,,
P2-133,PR_terra_terse_S02_s1#6,S02,gpt-5.6-terra,concise,await expect(page.getByText(/email.*has already been taken/i)).toBeVisible(),specs/e2e/error-handling.spec.ts,50,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"  test('should handle 400 on registration with validation errors', async ({ page }) => {
    await mockApiError(page, '/users', 400, {
      errors: {
        email: ['is already taken'],
        username: ['is too short (minimum is 3 characters)'],
      },
    });
    await page.goto('/register');
    await page.fill('input[name=""username""]', 'ab');
    await page.fill('input[name=""email""]', 'taken@test.com');
    await page.fill('input[name=""password""]', 'password123');
    await page.click('button[type=""submit""]');
    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",公開契約的 E2E 測試僅驗證註冊時若 email 被佔用會顯示 .error-messages 區塊，並未明確要求前端畫面上必須出現文字「email has already been taken」。,,
P2-134,PR_terra_terse_S02_s2#1,S02,gpt-5.6-terra,concise,expect(response.status).toBeLessThan(500),specs/api/hurl/errors_auth.hurl,66,77,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"# Register duplicate email
POST {{host}}/api/users
{
  ""user"": {
    ""username"": ""ea_dup2_{{uid}}"",
    ""email"": ""ea_dup_{{uid}}@test.com"",
    ""password"": ""password123""
  }
}
HTTP 409
[Asserts]
jsonpath ""$.errors.email[0]"" == ""has already been taken""",公開契約的 Hurl 測試明確規範當使用已存在的重複 email 進行註冊時，API 應回傳 409（屬於小於 500 的 4xx 狀態碼）。,,
P2-135,PR_terra_terse_S02_s2#2,S02,gpt-5.6-terra,concise,expect(response.json).toHaveProperty('errors'),specs/api/hurl/errors_auth.hurl,66,77,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"# Register duplicate email
POST {{host}}/api/users
{
  ""user"": {
    ""username"": ""ea_dup2_{{uid}}"",
    ""email"": ""ea_dup_{{uid}}@test.com"",
    ""password"": ""password123""
  }
}
HTTP 409
[Asserts]
jsonpath ""$.errors.email[0]"" == ""has already been taken""",契約中的 Hurl 測試明確驗證使用重複 email 註冊時，回應包含 errors 物件且其下有具體的錯誤訊息。,,
P2-136,PR_terra_terse_S02_s3#0,S02,gpt-5.6-terra,concise,await expect(page).toHaveURL(/#\/register/),specs/e2e/error-handling.spec.ts,62,66,ebbcdeb8d55b42a3a613c787560498b8ef10003f,"    // Should show error messages
    await expect(page.locator('.error-messages')).toBeVisible();
    await expect(page).toHaveURL('/register');
    await expect(page.locator('input[name=""email""]')).toBeVisible();
  });",E2E 錯誤處理測試明確驗證註冊時發生驗證錯誤（包含 email 被佔用）後，頁面應維持停留在 /register 路由。,,
